payments,revenue,refund_amount,refund_ratio,pg_fee,contribution_before_variable_opex,within_72h_renewals,after_72h_renewals,main_expiries,sub_expiries,main_to_sub_conversions,renewal_rank_assessments,payback_qualifications,active_users_end,active_user_days,scenario
1967,57043000,3587300.0,0.06288764616166752,2133408.2,50992291.8,743,224,268,1698,180,40,245,1,52497.48311876718,기준
1972,57188000,2786900.0,0.048732251521298176,2138831.2,51932268.8,779,193,206,1766,137,28,191,0,52400.0,기준
1919,55651000,2598400.0,0.04669098488796248,2081347.4000000001,50641252.6,731,188,189,1730,114,27,178,0,50593.0,기준
2013,58377000,3097200.0,0.05305514157973174,2183299.8000000003,52766500.2,815,198,226,1787,155,29,213,0,53358.0,기준
1917,55593000,3111700.0,0.05597287428273344,2079178.2000000002,50072121.8,753,164,228,1689,155,31,211,0,51271.0,기준
1995,57855000,2868100.0,0.04957393483709273,2163777.0,52493123.0,806,189,207,1788,140,20,196,0,52793.0,기준
1959,56811000,2792700.0,0.04915773353751914,2124731.4000000004,51563568.6,766,193,204,1755,133,22,192,0,51838.0,기준
1933,56057000,2644800.0,0.04718054837040869,2096531.8,50985668.2,736,197,194,1739,126,27,180,0,51002.0,기준
1938,56202000,3227700.0,0.05743034055727554,2101954.8000000003,50542345.2,744,194,231,1707,159,20,219,0,51448.0,기준
1983,57507000,2830400.0,0.0492183560262229,2150761.8000000003,52195838.2,777,206,198,1785,118,27,194,0,52029.0,기준
1837,53273000,2441800.0,0.04583560152422428,1992410.2000000002,48508789.8,656,181,176,1661,106,17,166,0,48716.0,기준
1926,55854000,2908700.0,0.052076843198338524,2088939.6,50526360.4,709,217,211,1715,130,38,200,0,50768.0,기준
1966,57014000,3059500.0,0.05366225839267548,2132323.6,51492176.4,771,195,220,1746,153,21,211,0,52101.0,기준
2064,59856000,2772400.0,0.04631782945736434,2238614.4000000004,54514985.6,827,237,206,1858,143,32,190,0,54123.0,기준
1930,55970000,2705700.0,0.048341968911917096,2093278.0000000002,50841022.0,762,168,199,1730,137,14,186,1,51007.5462325017,기준
1926,55854000,2572300.0,0.0460539979231568,2088939.6,50862760.4,713,213,192,1734,128,23,175,0,50670.0,기준
1909,55361000,2937700.0,0.05306443163960189,2070501.4000000001,50022798.6,701,208,214,1694,125,30,202,1,50403.606983773185,기준
1905,55245000,2598400.0,0.04703412073490813,2066163.0000000002,50250437.0,717,188,190,1714,127,25,178,1,50607.44454381746,기준
2012,58348000,2978300.0,0.05104373757455268,2182215.2,52857484.8,804,208,217,1795,144,20,203,0,53090.0,기준
1879,54491000,2728900.0,0.050079829696647156,2037963.4000000001,49394136.6,682,197,194,1685,130,24,187,0,49519.0,기준
1939,56231000,2891300.0,0.05141825683341929,2103039.4000000004,50906660.6,730,209,206,1732,120,29,197,1,51084.15807024917,기준
1889,54781000,2807200.0,0.05124404446797247,2048809.4000000001,49594990.6,704,185,207,1682,133,23,193,0,50182.0,기준
2018,58522000,2795600.0,0.04777006937561942,2188722.8000000003,53207677.2,813,205,204,1814,132,23,191,0,53321.0,기준
1979,57391000,2694100.0,0.04694290045477514,2146423.4000000004,52220476.6,760,219,197,1781,130,29,184,1,52080.631675587145,기준
1948,56492000,2998600.0,0.053080082135523614,2112800.8000000003,51050599.2,752,196,226,1721,137,27,205,1,51735.91647357675,기준
