refund_ratio,recipient_ratio,zero_pass_ratio,average_attacks,average_expiry_day,refund_50_ratio,refund_80_ratio,refund_100_ratio
0.0391,0.077,0.852,4.451,26.426,0.075,0.002,0.0
0.0516,0.102,0.861,4.603,26.374,0.1,0.002,0.0
0.0438,0.087,0.848,4.582,26.349,0.086,0.001,0.0
0.052,0.104,0.852,4.629,26.387,0.104,0.0,0.0
0.046799999999999994,0.093,0.843,4.506,26.365,0.092,0.001,0.0
0.0554,0.109,0.859,4.532,26.45,0.106,0.003,0.0
0.0551,0.109,0.849,4.793,26.36,0.107,0.002,0.0
0.040299999999999996,0.08,0.871,4.482,26.404,0.079,0.001,0.0
0.0536,0.106,0.844,4.596,26.386,0.104,0.002,0.0
0.0528,0.105,0.859,4.275,26.519,0.104,0.001,0.0
0.0546,0.108,0.866,4.464,26.469,0.106,0.002,0.0
0.054299999999999994,0.108,0.855,4.646,26.35,0.107,0.001,0.0
0.0435,0.087,0.868,4.307,26.452,0.087,0.0,0.0
0.052,0.104,0.867,4.567,26.398,0.104,0.0,0.0
0.0523,0.104,0.856,4.601,26.413,0.103,0.001,0.0
0.054400000000000004,0.107,0.848,4.675,26.407,0.104,0.003,0.0
0.047799999999999995,0.095,0.835,4.473,26.409,0.094,0.001,0.0
0.0518,0.1,0.86,4.65,26.358,0.094,0.006,0.0
0.0426,0.084,0.853,4.407,26.396,0.082,0.002,0.0
0.0595,0.119,0.852,4.477,26.472,0.119,0.0,0.0
0.0498,0.099,0.842,4.55,26.403,0.098,0.001,0.0
0.052,0.104,0.855,4.462,26.436,0.104,0.0,0.0
0.0471,0.093,0.86,4.669,26.418,0.091,0.002,0.0
0.0525,0.105,0.849,4.629,26.366,0.105,0.0,0.0
0.0551,0.109,0.839,4.672,26.336,0.107,0.002,0.0
0.056100000000000004,0.111,0.847,4.742,26.324,0.109,0.002,0.0
0.0495,0.099,0.856,4.573,26.403,0.099,0.0,0.0
0.0438,0.087,0.86,4.574,26.414,0.086,0.001,0.0
0.0523,0.104,0.854,4.734,26.368,0.103,0.001,0.0
0.060599999999999994,0.12,0.865,4.595,26.363,0.118,0.002,0.0
0.0546,0.108,0.849,4.673,26.363,0.106,0.002,0.0
0.0523,0.104,0.86,4.546,26.364,0.103,0.001,0.0
0.05190000000000001,0.102,0.85,4.666,26.391,0.099,0.003,0.0
0.046799999999999994,0.093,0.853,4.525,26.401,0.092,0.001,0.0
0.0475,0.095,0.848,4.603,26.41,0.095,0.0,0.0
0.0513,0.102,0.853,4.459,26.427,0.101,0.001,0.0
0.053,0.106,0.856,4.52,26.412,0.106,0.0,0.0
0.053,0.106,0.859,4.361,26.521,0.106,0.0,0.0
0.0531,0.105,0.844,4.697,26.388,0.103,0.002,0.0
0.05240000000000001,0.103,0.844,4.611,26.33,0.1,0.003,0.0
0.0407,0.079,0.847,4.61,26.316,0.075,0.004,0.0
0.0526,0.104,0.846,4.474,26.429,0.102,0.002,0.0
0.0546,0.108,0.853,4.35,26.492,0.106,0.002,0.0
0.0441,0.087,0.855,4.546,26.347,0.085,0.002,0.0
0.0456,0.09,0.862,4.606,26.409,0.088,0.002,0.0
0.0501,0.099,0.859,4.338,26.485,0.097,0.002,0.0
0.040400000000000005,0.079,0.857,4.439,26.42,0.076,0.003,0.0
0.0482,0.094,0.844,4.54,26.38,0.09,0.004,0.0
0.056100000000000004,0.111,0.859,4.552,26.436,0.109,0.002,0.0
0.055900000000000005,0.11,0.846,4.533,26.365,0.107,0.003,0.0
0.0448,0.089,0.844,4.618,26.329,0.088,0.001,0.0
0.0493,0.098,0.854,4.52,26.402,0.097,0.001,0.0
0.04,0.08,0.859,4.483,26.373,0.08,0.0,0.0
0.0458,0.091,0.836,4.471,26.415,0.09,0.001,0.0
0.0513,0.102,0.847,4.414,26.473,0.101,0.001,0.0
0.0416,0.082,0.854,4.663,26.335,0.08,0.002,0.0
